Pair	ROI	Y
P18	17Networks_LH_SalVentAttnA_FrMed_2	-0.1866
P19	17Networks_LH_SalVentAttnA_FrMed_2	0.0498
P20	17Networks_LH_SalVentAttnA_FrMed_2	0.4383
P21	17Networks_LH_SalVentAttnA_FrMed_2	-0.3453
P22	17Networks_LH_SalVentAttnA_FrMed_2	-0.3523
P23	17Networks_LH_SalVentAttnA_FrMed_2	-0.2944
P24	17Networks_LH_SalVentAttnA_FrMed_2	-0.2851
P25	17Networks_LH_SalVentAttnA_FrMed_2	0.0078
P26	17Networks_LH_SalVentAttnA_FrMed_2	0.0474
P27	17Networks_LH_SalVentAttnA_FrMed_2	-0.0796
P28	17Networks_LH_SalVentAttnA_FrMed_2	-0.4681
P29	17Networks_LH_SalVentAttnA_FrMed_2	0.1814
P30	17Networks_LH_SalVentAttnA_FrMed_2	-0.6461
P31	17Networks_LH_SalVentAttnA_FrMed_2	1.2901
P32	17Networks_LH_SalVentAttnA_FrMed_2	0.6374
P33	17Networks_LH_SalVentAttnA_FrMed_2	-0.5723
P34	17Networks_LH_SalVentAttnA_FrMed_2	-0.3494
P35	17Networks_LH_SalVentAttnA_FrMed_2	0.5156
P36	17Networks_LH_SalVentAttnA_FrMed_2	0.0052
P37	17Networks_LH_SalVentAttnA_FrMed_2	-0.7340
P38	17Networks_LH_SalVentAttnA_FrMed_2	0.5863
P39	17Networks_LH_SalVentAttnA_FrMed_2	0.3159
P40	17Networks_LH_SalVentAttnA_FrMed_2	0.1388
P41	17Networks_LH_SalVentAttnA_FrMed_2	-0.0810
P42	17Networks_LH_SalVentAttnA_FrMed_2	0.8148
P43	17Networks_LH_SalVentAttnA_FrMed_2	0.7064
P44	17Networks_LH_SalVentAttnA_FrMed_2	0.3073
P45	17Networks_LH_SalVentAttnA_FrMed_2	-1.0845
P46	17Networks_LH_SalVentAttnA_FrMed_2	-0.5986
P47	17Networks_LH_SalVentAttnA_FrMed_2	-0.0286
P48	17Networks_LH_SalVentAttnA_FrMed_2	-0.2927
P49	17Networks_LH_SalVentAttnA_FrMed_2	-0.1021
P50	17Networks_LH_SalVentAttnA_FrMed_2	-0.0457
P51	17Networks_LH_SalVentAttnA_FrMed_2	-0.3520
P52	17Networks_LH_SalVentAttnA_FrMed_2	0.3267
P53	17Networks_LH_SalVentAttnA_FrMed_2	0.6105
P54	17Networks_LH_SalVentAttnA_FrMed_2	0.5930
P55	17Networks_LH_SalVentAttnA_FrMed_2	-0.3085
P56	17Networks_LH_SalVentAttnA_FrMed_2	0.3785
P57	17Networks_LH_SalVentAttnA_FrMed_2	0.1258
P58	17Networks_LH_SalVentAttnA_FrMed_2	0.3507
P59	17Networks_LH_SalVentAttnA_FrMed_2	-0.2940
P60	17Networks_LH_SalVentAttnA_FrMed_2	0.0107
P00	17Networks_LH_SalVentAttnB_IPL_1	0.2323
P01	17Networks_LH_SalVentAttnB_IPL_1	1.1653
P02	17Networks_LH_SalVentAttnB_IPL_1	-0.1807
P03	17Networks_LH_SalVentAttnB_IPL_1	-2.3142
P04	17Networks_LH_SalVentAttnB_IPL_1	-0.1497
P05	17Networks_LH_SalVentAttnB_IPL_1	0.1916
P06	17Networks_LH_SalVentAttnB_IPL_1	-0.6534
P07	17Networks_LH_SalVentAttnB_IPL_1	0.0223
P08	17Networks_LH_SalVentAttnB_IPL_1	0.2366
P09	17Networks_LH_SalVentAttnB_IPL_1	-0.5355
P10	17Networks_LH_SalVentAttnB_IPL_1	0.7714
P11	17Networks_LH_SalVentAttnB_IPL_1	0.3013
P12	17Networks_LH_SalVentAttnB_IPL_1	-0.4224
P13	17Networks_LH_SalVentAttnB_IPL_1	-0.7774
P14	17Networks_LH_SalVentAttnB_IPL_1	0.0367
P15	17Networks_LH_SalVentAttnB_IPL_1	0.2177
P16	17Networks_LH_SalVentAttnB_IPL_1	0.0896
P17	17Networks_LH_SalVentAttnB_IPL_1	-0.0999
P18	17Networks_LH_SalVentAttnB_IPL_1	-0.3889
P19	17Networks_LH_SalVentAttnB_IPL_1	0.2061
P20	17Networks_LH_SalVentAttnB_IPL_1	0.2911
P21	17Networks_LH_SalVentAttnB_IPL_1	0.0890
P22	17Networks_LH_SalVentAttnB_IPL_1	0.3960
P23	17Networks_LH_SalVentAttnB_IPL_1	-0.1284
P24	17Networks_LH_SalVentAttnB_IPL_1	0.0681
P25	17Networks_LH_SalVentAttnB_IPL_1	1.0116
P26	17Networks_LH_SalVentAttnB_IPL_1	0.6970
P27	17Networks_LH_SalVentAttnB_IPL_1	0.4123
P28	17Networks_LH_SalVentAttnB_IPL_1	0.4169
P29	17Networks_LH_SalVentAttnB_IPL_1	-0.1261
P30	17Networks_LH_SalVentAttnB_IPL_1	0.5695
P31	17Networks_LH_SalVentAttnB_IPL_1	-0.0393
P32	17Networks_LH_SalVentAttnB_IPL_1	0.3469
P33	17Networks_LH_SalVentAttnB_IPL_1	0.3170
P34	17Networks_LH_SalVentAttnB_IPL_1	-0.5230
P35	17Networks_LH_SalVentAttnB_IPL_1	0.2912
P36	17Networks_LH_SalVentAttnB_IPL_1	-0.0071
P37	17Networks_LH_SalVentAttnB_IPL_1	-0.4606
P38	17Networks_LH_SalVentAttnB_IPL_1	-0.3392
P39	17Networks_LH_SalVentAttnB_IPL_1	0.5236
P40	17Networks_LH_SalVentAttnB_IPL_1	-0.8234
P41	17Networks_LH_SalVentAttnB_IPL_1	-0.2812
P42	17Networks_LH_SalVentAttnB_IPL_1	0.4571
P43	17Networks_LH_SalVentAttnB_IPL_1	-0.3968
P44	17Networks_LH_SalVentAttnB_IPL_1	0.3715
P45	17Networks_LH_SalVentAttnB_IPL_1	-0.5871
P46	17Networks_LH_SalVentAttnB_IPL_1	-0.4970
P47	17Networks_LH_SalVentAttnB_IPL_1	-0.5862
P48	17Networks_LH_SalVentAttnB_IPL_1	-0.8184
P49	17Networks_LH_SalVentAttnB_IPL_1	-0.0887
P50	17Networks_LH_SalVentAttnB_IPL_1	-0.1561
P51	17Networks_LH_SalVentAttnB_IPL_1	-0.4416
P52	17Networks_LH_SalVentAttnB_IPL_1	-0.0205
P53	17Networks_LH_SalVentAttnB_IPL_1	0.2840
P54	17Networks_LH_SalVentAttnB_IPL_1	0.3418
P55	17Networks_LH_SalVentAttnB_IPL_1	-0.2226
P56	17Networks_LH_SalVentAttnB_IPL_1	0.5885
P57	17Networks_LH_SalVentAttnB_IPL_1	0.0635
P58	17Networks_LH_SalVentAttnB_IPL_1	-0.0579
P59	17Networks_LH_SalVentAttnB_IPL_1	0.3798
P60	17Networks_LH_SalVentAttnB_IPL_1	-0.5163
P00	17Networks_LH_SalVentAttnB_PFCl_1	0.9361
P01	17Networks_LH_SalVentAttnB_PFCl_1	0.4916
P02	17Networks_LH_SalVentAttnB_PFCl_1	-0.1529
P03	17Networks_LH_SalVentAttnB_PFCl_1	0.0278
P04	17Networks_LH_SalVentAttnB_PFCl_1	0.0749
P05	17Networks_LH_SalVentAttnB_PFCl_1	0.4257
P06	17Networks_LH_SalVentAttnB_PFCl_1	-0.2640
P07	17Networks_LH_SalVentAttnB_PFCl_1	-0.2802
P08	17Networks_LH_SalVentAttnB_PFCl_1	0.3515
P09	17Networks_LH_SalVentAttnB_PFCl_1	-0.1344
P10	17Networks_LH_SalVentAttnB_PFCl_1	0.4949
P11	17Networks_LH_SalVentAttnB_PFCl_1	-0.1778
P12	17Networks_LH_SalVentAttnB_PFCl_1	-0.2239
P13	17Networks_LH_SalVentAttnB_PFCl_1	-0.3717
P14	17Networks_LH_SalVentAttnB_PFCl_1	-0.1000
P15	17Networks_LH_SalVentAttnB_PFCl_1	-0.0021
P16	17Networks_LH_SalVentAttnB_PFCl_1	0.3750
P17	17Networks_LH_SalVentAttnB_PFCl_1	-0.2246
P18	17Networks_LH_SalVentAttnB_PFCl_1	-0.0077
P19	17Networks_LH_SalVentAttnB_PFCl_1	0.1410
P20	17Networks_LH_SalVentAttnB_PFCl_1	0.0282
P21	17Networks_LH_SalVentAttnB_PFCl_1	-0.0272
P22	17Networks_LH_SalVentAttnB_PFCl_1	-0.0855
P23	17Networks_LH_SalVentAttnB_PFCl_1	0.1137
P24	17Networks_LH_SalVentAttnB_PFCl_1	0.4465
P25	17Networks_LH_SalVentAttnB_PFCl_1	-0.6397
P26	17Networks_LH_SalVentAttnB_PFCl_1	0.1077
P27	17Networks_LH_SalVentAttnB_PFCl_1	0.6518
P28	17Networks_LH_SalVentAttnB_PFCl_1	0.1073
P29	17Networks_LH_SalVentAttnB_PFCl_1	0.3297
P30	17Networks_LH_SalVentAttnB_PFCl_1	0.1969
P31	17Networks_LH_SalVentAttnB_PFCl_1	-0.0498
P32	17Networks_LH_SalVentAttnB_PFCl_1	-0.0778
P33	17Networks_LH_SalVentAttnB_PFCl_1	0.4026
P34	17Networks_LH_SalVentAttnB_PFCl_1	0.0075
P35	17Networks_LH_SalVentAttnB_PFCl_1	0.0107
P36	17Networks_LH_SalVentAttnB_PFCl_1	-0.0734
P37	17Networks_LH_SalVentAttnB_PFCl_1	-0.2370
P38	17Networks_LH_SalVentAttnB_PFCl_1	0.2394
P39	17Networks_LH_SalVentAttnB_PFCl_1	0.0836
P40	17Networks_LH_SalVentAttnB_PFCl_1	-0.6161
P41	17Networks_LH_SalVentAttnB_PFCl_1	-0.2608
P42	17Networks_LH_SalVentAttnB_PFCl_1	0.0479
P43	17Networks_LH_SalVentAttnB_PFCl_1	0.0654
P44	17Networks_LH_SalVentAttnB_PFCl_1	-0.0073
P45	17Networks_LH_SalVentAttnB_PFCl_1	-0.2442
P46	17Networks_LH_SalVentAttnB_PFCl_1	-0.2847
P47	17Networks_LH_SalVentAttnB_PFCl_1	-0.0828
P48	17Networks_LH_SalVentAttnB_PFCl_1	0.1558
P49	17Networks_LH_SalVentAttnB_PFCl_1	-0.0761
P50	17Networks_LH_SalVentAttnB_PFCl_1	-0.0595
P51	17Networks_LH_SalVentAttnB_PFCl_1	0.1879
P52	17Networks_LH_SalVentAttnB_PFCl_1	-0.0139
P53	17Networks_LH_SalVentAttnB_PFCl_1	0.6443
P54	17Networks_LH_SalVentAttnB_PFCl_1	0.1577
P55	17Networks_LH_SalVentAttnB_PFCl_1	-0.1292
P56	17Networks_LH_SalVentAttnB_PFCl_1	0.2252
P57	17Networks_LH_SalVentAttnB_PFCl_1	0.1576
P58	17Networks_LH_SalVentAttnB_PFCl_1	0.0158
P59	17Networks_LH_SalVentAttnB_PFCl_1	0.0435
P60	17Networks_LH_SalVentAttnB_PFCl_1	-0.3411
P00	17Networks_LH_SalVentAttnB_PFCl_2	0.6877
P01	17Networks_LH_SalVentAttnB_PFCl_2	0.6333
P02	17Networks_LH_SalVentAttnB_PFCl_2	-0.2718
P03	17Networks_LH_SalVentAttnB_PFCl_2	0.4370
P04	17Networks_LH_SalVentAttnB_PFCl_2	0.3367
P05	17Networks_LH_SalVentAttnB_PFCl_2	0.4318
P06	17Networks_LH_SalVentAttnB_PFCl_2	-0.3353
P07	17Networks_LH_SalVentAttnB_PFCl_2	-0.2007
P08	17Networks_LH_SalVentAttnB_PFCl_2	0.1447
P09	17Networks_LH_SalVentAttnB_PFCl_2	-0.1321
P10	17Networks_LH_SalVentAttnB_PFCl_2	0.2008
P11	17Networks_LH_SalVentAttnB_PFCl_2	0.1545
P12	17Networks_LH_SalVentAttnB_PFCl_2	-0.2179
P13	17Networks_LH_SalVentAttnB_PFCl_2	-0.3190
P14	17Networks_LH_SalVentAttnB_PFCl_2	-0.6384
P15	17Networks_LH_SalVentAttnB_PFCl_2	0.2732
P16	17Networks_LH_SalVentAttnB_PFCl_2	0.1884
P17	17Networks_LH_SalVentAttnB_PFCl_2	0.4758
P18	17Networks_LH_SalVentAttnB_PFCl_2	-0.3443
P19	17Networks_LH_SalVentAttnB_PFCl_2	0.1149
P20	17Networks_LH_SalVentAttnB_PFCl_2	-0.1552
P21	17Networks_LH_SalVentAttnB_PFCl_2	0.0347
P22	17Networks_LH_SalVentAttnB_PFCl_2	0.3517
P23	17Networks_LH_SalVentAttnB_PFCl_2	-0.2061
P24	17Networks_LH_SalVentAttnB_PFCl_2	0.0718
P25	17Networks_LH_SalVentAttnB_PFCl_2	0.1217
P26	17Networks_LH_SalVentAttnB_PFCl_2	0.0082
P27	17Networks_LH_SalVentAttnB_PFCl_2	0.5213
P28	17Networks_LH_SalVentAttnB_PFCl_2	0.0076
P29	17Networks_LH_SalVentAttnB_PFCl_2	0.3383
P30	17Networks_LH_SalVentAttnB_PFCl_2	0.0036
P31	17Networks_LH_SalVentAttnB_PFCl_2	-0.4073
P32	17Networks_LH_SalVentAttnB_PFCl_2	0.0943
P33	17Networks_LH_SalVentAttnB_PFCl_2	-0.1988
P34	17Networks_LH_SalVentAttnB_PFCl_2	-0.2250
P35	17Networks_LH_SalVentAttnB_PFCl_2	0.1859
P36	17Networks_LH_SalVentAttnB_PFCl_2	0.0230
P37	17Networks_LH_SalVentAttnB_PFCl_2	-0.2325
P38	17Networks_LH_SalVentAttnB_PFCl_2	-0.2094
P39	17Networks_LH_SalVentAttnB_PFCl_2	-0.3610
P40	17Networks_LH_SalVentAttnB_PFCl_2	-0.0230
P41	17Networks_LH_SalVentAttnB_PFCl_2	-0.2828
P42	17Networks_LH_SalVentAttnB_PFCl_2	0.2966
P43	17Networks_LH_SalVentAttnB_PFCl_2	0.1749
P44	17Networks_LH_SalVentAttnB_PFCl_2	0.1522
P45	17Networks_LH_SalVentAttnB_PFCl_2	-0.3579
P46	17Networks_LH_SalVentAttnB_PFCl_2	-0.2874
P47	17Networks_LH_SalVentAttnB_PFCl_2	-0.1777
P48	17Networks_LH_SalVentAttnB_PFCl_2	0.0502
P49	17Networks_LH_SalVentAttnB_PFCl_2	-0.3225
P50	17Networks_LH_SalVentAttnB_PFCl_2	-0.2648
P51	17Networks_LH_SalVentAttnB_PFCl_2	0.0598
P52	17Networks_LH_SalVentAttnB_PFCl_2	-0.1204
P53	17Networks_LH_SalVentAttnB_PFCl_2	0.3910
P54	17Networks_LH_SalVentAttnB_PFCl_2	0.4096
P55	17Networks_LH_SalVentAttnB_PFCl_2	-0.5084
P56	17Networks_LH_SalVentAttnB_PFCl_2	0.8147
P57	17Networks_LH_SalVentAttnB_PFCl_2	0.1153
P58	17Networks_LH_SalVentAttnB_PFCl_2	0.2674
P59	17Networks_LH_SalVentAttnB_PFCl_2	-0.0269
P60	17Networks_LH_SalVentAttnB_PFCl_2	-0.4295
P00	17Networks_LH_SalVentAttnB_Ins_1	0.2792
P01	17Networks_LH_SalVentAttnB_Ins_1	0.6193
P02	17Networks_LH_SalVentAttnB_Ins_1	0.2753
P03	17Networks_LH_SalVentAttnB_Ins_1	0.3602
P04	17Networks_LH_SalVentAttnB_Ins_1	0.3940
P05	17Networks_LH_SalVentAttnB_Ins_1	0.0609
P06	17Networks_LH_SalVentAttnB_Ins_1	-0.2672
P07	17Networks_LH_SalVentAttnB_Ins_1	0.0492
P08	17Networks_LH_SalVentAttnB_Ins_1	0.0562
P09	17Networks_LH_SalVentAttnB_Ins_1	0.0163
P10	17Networks_LH_SalVentAttnB_Ins_1	0.2404
P11	17Networks_LH_SalVentAttnB_Ins_1	0.1552
P12	17Networks_LH_SalVentAttnB_Ins_1	0.1175
P13	17Networks_LH_SalVentAttnB_Ins_1	0.2720
P14	17Networks_LH_SalVentAttnB_Ins_1	-0.0200
P15	17Networks_LH_SalVentAttnB_Ins_1	-0.1900
P16	17Networks_LH_SalVentAttnB_Ins_1	0.3397
P17	17Networks_LH_SalVentAttnB_Ins_1	0.5765
P18	17Networks_LH_SalVentAttnB_Ins_1	0.2281
P19	17Networks_LH_SalVentAttnB_Ins_1	0.0812
P20	17Networks_LH_SalVentAttnB_Ins_1	-0.1635
P21	17Networks_LH_SalVentAttnB_Ins_1	0.0723
P22	17Networks_LH_SalVentAttnB_Ins_1	0.4640
P23	17Networks_LH_SalVentAttnB_Ins_1	0.1082
P24	17Networks_LH_SalVentAttnB_Ins_1	0.3543
P25	17Networks_LH_SalVentAttnB_Ins_1	0.4184
P26	17Networks_LH_SalVentAttnB_Ins_1	0.0281
P27	17Networks_LH_SalVentAttnB_Ins_1	0.1976
P28	17Networks_LH_SalVentAttnB_Ins_1	-0.0333
P29	17Networks_LH_SalVentAttnB_Ins_1	0.0369
P30	17Networks_LH_SalVentAttnB_Ins_1	0.1308
P31	17Networks_LH_SalVentAttnB_Ins_1	-0.0238
P32	17Networks_LH_SalVentAttnB_Ins_1	0.2266
P33	17Networks_LH_SalVentAttnB_Ins_1	-0.1865
P34	17Networks_LH_SalVentAttnB_Ins_1	-0.1438
P35	17Networks_LH_SalVentAttnB_Ins_1	0.0111
P36	17Networks_LH_SalVentAttnB_Ins_1	0.1845
P37	17Networks_LH_SalVentAttnB_Ins_1	-0.1560
P38	17Networks_LH_SalVentAttnB_Ins_1	-0.0316
P39	17Networks_LH_SalVentAttnB_Ins_1	0.2862
P40	17Networks_LH_SalVentAttnB_Ins_1	0.0673
P41	17Networks_LH_SalVentAttnB_Ins_1	-0.0021
P42	17Networks_LH_SalVentAttnB_Ins_1	0.2342
P43	17Networks_LH_SalVentAttnB_Ins_1	0.1904
P44	17Networks_LH_SalVentAttnB_Ins_1	0.1220
P45	17Networks_LH_SalVentAttnB_Ins_1	-0.1330
P46	17Networks_LH_SalVentAttnB_Ins_1	0.1656
P47	17Networks_LH_SalVentAttnB_Ins_1	0.5125
P48	17Networks_LH_SalVentAttnB_Ins_1	0.2892
P49	17Networks_LH_SalVentAttnB_Ins_1	-0.0538
P50	17Networks_LH_SalVentAttnB_Ins_1	-0.0568
P51	17Networks_LH_SalVentAttnB_Ins_1	-0.0937
P52	17Networks_LH_SalVentAttnB_Ins_1	-0.1838
P53	17Networks_LH_SalVentAttnB_Ins_1	0.2697
P54	17Networks_LH_SalVentAttnB_Ins_1	0.3066
P55	17Networks_LH_SalVentAttnB_Ins_1	0.0069
P56	17Networks_LH_SalVentAttnB_Ins_1	0.3596
P57	17Networks_LH_SalVentAttnB_Ins_1	0.0750
P58	17Networks_LH_SalVentAttnB_Ins_1	0.1013
P59	17Networks_LH_SalVentAttnB_Ins_1	0.3655
P60	17Networks_LH_SalVentAttnB_Ins_1	0.1488
P00	17Networks_LH_SalVentAttnB_Ins_2	-0.2485
P01	17Networks_LH_SalVentAttnB_Ins_2	0.8288
P02	17Networks_LH_SalVentAttnB_Ins_2	0.2119
P03	17Networks_LH_SalVentAttnB_Ins_2	0.2140
P04	17Networks_LH_SalVentAttnB_Ins_2	0.1793
P05	17Networks_LH_SalVentAttnB_Ins_2	-0.1347
P06	17Networks_LH_SalVentAttnB_Ins_2	-0.0495
P07	17Networks_LH_SalVentAttnB_Ins_2	-0.1341
P08	17Networks_LH_SalVentAttnB_Ins_2	0.4143
P09	17Networks_LH_SalVentAttnB_Ins_2	-0.0468
P10	17Networks_LH_SalVentAttnB_Ins_2	-0.3998
P11	17Networks_LH_SalVentAttnB_Ins_2	0.1058
P12	17Networks_LH_SalVentAttnB_Ins_2	-0.2121
P13	17Networks_LH_SalVentAttnB_Ins_2	0.2971
P14	17Networks_LH_SalVentAttnB_Ins_2	0.2260
P15	17Networks_LH_SalVentAttnB_Ins_2	0.5422
P16	17Networks_LH_SalVentAttnB_Ins_2	-0.2502
P17	17Networks_LH_SalVentAttnB_Ins_2	0.1288
P18	17Networks_LH_SalVentAttnB_Ins_2	-0.0068
P19	17Networks_LH_SalVentAttnB_Ins_2	0.2377
P20	17Networks_LH_SalVentAttnB_Ins_2	0.0597
P21	17Networks_LH_SalVentAttnB_Ins_2	0.0029
P22	17Networks_LH_SalVentAttnB_Ins_2	0.8868
P23	17Networks_LH_SalVentAttnB_Ins_2	0.3495
P24	17Networks_LH_SalVentAttnB_Ins_2	0.2387
P25	17Networks_LH_SalVentAttnB_Ins_2	0.4647
P26	17Networks_LH_SalVentAttnB_Ins_2	0.8621
P27	17Networks_LH_SalVentAttnB_Ins_2	-0.1512
P28	17Networks_LH_SalVentAttnB_Ins_2	1.0478
P29	17Networks_LH_SalVentAttnB_Ins_2	0.3307
P30	17Networks_LH_SalVentAttnB_Ins_2	0.4727
P31	17Networks_LH_SalVentAttnB_Ins_2	0.6303
P32	17Networks_LH_SalVentAttnB_Ins_2	0.0958
P33	17Networks_LH_SalVentAttnB_Ins_2	-0.4988
P34	17Networks_LH_SalVentAttnB_Ins_2	-0.5088
P35	17Networks_LH_SalVentAttnB_Ins_2	0.2462
P36	17Networks_LH_SalVentAttnB_Ins_2	0.1087
P37	17Networks_LH_SalVentAttnB_Ins_2	-0.5872
P38	17Networks_LH_SalVentAttnB_Ins_2	0.1843
P39	17Networks_LH_SalVentAttnB_Ins_2	-0.5603
P40	17Networks_LH_SalVentAttnB_Ins_2	-0.8953
P41	17Networks_LH_SalVentAttnB_Ins_2	-0.3178
P42	17Networks_LH_SalVentAttnB_Ins_2	0.2734
P43	17Networks_LH_SalVentAttnB_Ins_2	-0.0774
P44	17Networks_LH_SalVentAttnB_Ins_2	0.8894
P45	17Networks_LH_SalVentAttnB_Ins_2	-0.0028
P46	17Networks_LH_SalVentAttnB_Ins_2	-0.0180
P47	17Networks_LH_SalVentAttnB_Ins_2	0.2031
P48	17Networks_LH_SalVentAttnB_Ins_2	1.1972
P49	17Networks_LH_SalVentAttnB_Ins_2	-0.1462
P50	17Networks_LH_SalVentAttnB_Ins_2	-0.1943
P51	17Networks_LH_SalVentAttnB_Ins_2	-0.1782
P52	17Networks_LH_SalVentAttnB_Ins_2	0.4413
P53	17Networks_LH_SalVentAttnB_Ins_2	0.4634
P54	17Networks_LH_SalVentAttnB_Ins_2	0.3413
P55	17Networks_LH_SalVentAttnB_Ins_2	-0.5603
P56	17Networks_LH_SalVentAttnB_Ins_2	-0.2646
P57	17Networks_LH_SalVentAttnB_Ins_2	-0.2016
P58	17Networks_LH_SalVentAttnB_Ins_2	0.0617
P59	17Networks_LH_SalVentAttnB_Ins_2	-0.3284
P60	17Networks_LH_SalVentAttnB_Ins_2	0.7495
P00	17Networks_LH_SalVentAttnB_PFCmp_1	0.1938
P01	17Networks_LH_SalVentAttnB_PFCmp_1	0.3565
P02	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0520
P03	17Networks_LH_SalVentAttnB_PFCmp_1	0.1188
P04	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0742
P05	17Networks_LH_SalVentAttnB_PFCmp_1	0.2528
P06	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0704
P07	17Networks_LH_SalVentAttnB_PFCmp_1	-0.4371
P08	17Networks_LH_SalVentAttnB_PFCmp_1	0.4030
P09	17Networks_LH_SalVentAttnB_PFCmp_1	-0.2251
P10	17Networks_LH_SalVentAttnB_PFCmp_1	0.0294
P11	17Networks_LH_SalVentAttnB_PFCmp_1	0.1262
P12	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0323
P13	17Networks_LH_SalVentAttnB_PFCmp_1	0.0381
P14	17Networks_LH_SalVentAttnB_PFCmp_1	-0.1328
P15	17Networks_LH_SalVentAttnB_PFCmp_1	-0.1111
P16	17Networks_LH_SalVentAttnB_PFCmp_1	0.3029
P17	17Networks_LH_SalVentAttnB_PFCmp_1	0.8336
P18	17Networks_LH_SalVentAttnB_PFCmp_1	-0.1686
P19	17Networks_LH_SalVentAttnB_PFCmp_1	0.2061
P20	17Networks_LH_SalVentAttnB_PFCmp_1	0.0546
P21	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0982
P22	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0749
P23	17Networks_LH_SalVentAttnB_PFCmp_1	0.1413
P24	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0620
P25	17Networks_LH_SalVentAttnB_PFCmp_1	0.0542
P26	17Networks_LH_SalVentAttnB_PFCmp_1	0.3057
P27	17Networks_LH_SalVentAttnB_PFCmp_1	0.1898
P28	17Networks_LH_SalVentAttnB_PFCmp_1	0.3573
P29	17Networks_LH_SalVentAttnB_PFCmp_1	0.3023
P30	17Networks_LH_SalVentAttnB_PFCmp_1	0.0090
P31	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0592
P32	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0478
P33	17Networks_LH_SalVentAttnB_PFCmp_1	-0.1016
P34	17Networks_LH_SalVentAttnB_PFCmp_1	0.2626
P35	17Networks_LH_SalVentAttnB_PFCmp_1	0.0931
P36	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0102
P37	17Networks_LH_SalVentAttnB_PFCmp_1	-0.2330
P38	17Networks_LH_SalVentAttnB_PFCmp_1	0.3393
P39	17Networks_LH_SalVentAttnB_PFCmp_1	0.3701
P40	17Networks_LH_SalVentAttnB_PFCmp_1	0.0498
P41	17Networks_LH_SalVentAttnB_PFCmp_1	-0.3983
P42	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0230
P43	17Networks_LH_SalVentAttnB_PFCmp_1	0.1918
P44	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0550
P45	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0902
P46	17Networks_LH_SalVentAttnB_PFCmp_1	0.1797
P47	17Networks_LH_SalVentAttnB_PFCmp_1	0.0136
P48	17Networks_LH_SalVentAttnB_PFCmp_1	0.1734
P49	17Networks_LH_SalVentAttnB_PFCmp_1	-0.1786
P50	17Networks_LH_SalVentAttnB_PFCmp_1	0.0225
P51	17Networks_LH_SalVentAttnB_PFCmp_1	0.1894
P52	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0347
P53	17Networks_LH_SalVentAttnB_PFCmp_1	0.2834
P54	17Networks_LH_SalVentAttnB_PFCmp_1	0.2104
P55	17Networks_LH_SalVentAttnB_PFCmp_1	-0.5678
P56	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0990
P57	17Networks_LH_SalVentAttnB_PFCmp_1	-0.0320
P58	17Networks_LH_SalVentAttnB_PFCmp_1	0.0365
P59	17Networks_LH_SalVentAttnB_PFCmp_1	-0.2269
P60	17Networks_LH_SalVentAttnB_PFCmp_1	0.0457
P00	17Networks_LH_LimbicB_OFC_1	0.3210
P01	17Networks_LH_LimbicB_OFC_1	0.1760
P02	17Networks_LH_LimbicB_OFC_1	0.6200
P03	17Networks_LH_LimbicB_OFC_1	0.4186
P04	17Networks_LH_LimbicB_OFC_1	-0.3889
P05	17Networks_LH_LimbicB_OFC_1	0.1092
P06	17Networks_LH_LimbicB_OFC_1	0.0618
P08	17Networks_LH_LimbicB_OFC_1	-0.1919
P09	17Networks_LH_LimbicB_OFC_1	-1.0769
P10	17Networks_LH_LimbicB_OFC_1	0.5927
P11	17Networks_LH_LimbicB_OFC_1	-0.1241
P12	17Networks_LH_LimbicB_OFC_1	-0.4276
P13	17Networks_LH_LimbicB_OFC_1	0.0980
P14	17Networks_LH_LimbicB_OFC_1	-0.0647
P15	17Networks_LH_LimbicB_OFC_1	-0.4945
P16	17Networks_LH_LimbicB_OFC_1	0.1824
P17	17Networks_LH_LimbicB_OFC_1	-0.3913
P18	17Networks_LH_LimbicB_OFC_1	-0.4781
P19	17Networks_LH_LimbicB_OFC_1	0.2838
P20	17Networks_LH_LimbicB_OFC_1	-0.6793
P21	17Networks_LH_LimbicB_OFC_1	-0.3459
P22	17Networks_LH_LimbicB_OFC_1	0.1789
P23	17Networks_LH_LimbicB_OFC_1	0.1982
P24	17Networks_LH_LimbicB_OFC_1	0.3747
P25	17Networks_LH_LimbicB_OFC_1	0.1333
P26	17Networks_LH_LimbicB_OFC_1	0.1491
P27	17Networks_LH_LimbicB_OFC_1	0.2429
P28	17Networks_LH_LimbicB_OFC_1	0.0808
P29	17Networks_LH_LimbicB_OFC_1	0.0830
