Pair	ROI	Y
P36	17Networks_LH_VisCent_ExStr_2	-0.0063
P37	17Networks_LH_VisCent_ExStr_2	0.0413
P38	17Networks_LH_VisCent_ExStr_2	-0.1405
P39	17Networks_LH_VisCent_ExStr_2	0.0208
P40	17Networks_LH_VisCent_ExStr_2	-0.2504
P41	17Networks_LH_VisCent_ExStr_2	-0.4945
P42	17Networks_LH_VisCent_ExStr_2	0.4805
P43	17Networks_LH_VisCent_ExStr_2	0.7832
P44	17Networks_LH_VisCent_ExStr_2	-0.0973
P45	17Networks_LH_VisCent_ExStr_2	-0.3910
P46	17Networks_LH_VisCent_ExStr_2	-0.1978
P47	17Networks_LH_VisCent_ExStr_2	-0.5039
P48	17Networks_LH_VisCent_ExStr_2	0.9197
P49	17Networks_LH_VisCent_ExStr_2	0.2466
P50	17Networks_LH_VisCent_ExStr_2	-0.0278
P51	17Networks_LH_VisCent_ExStr_2	-0.1037
P52	17Networks_LH_VisCent_ExStr_2	0.0637
P53	17Networks_LH_VisCent_ExStr_2	0.5015
P54	17Networks_LH_VisCent_ExStr_2	0.2358
P55	17Networks_LH_VisCent_ExStr_2	-0.0754
P56	17Networks_LH_VisCent_ExStr_2	0.2480
P57	17Networks_LH_VisCent_ExStr_2	-0.0534
P58	17Networks_LH_VisCent_ExStr_2	0.3279
P59	17Networks_LH_VisCent_ExStr_2	0.1101
P60	17Networks_LH_VisCent_ExStr_2	-0.7968
P00	17Networks_LH_VisCent_ExStr_3	0.6021
P01	17Networks_LH_VisCent_ExStr_3	0.0021
P02	17Networks_LH_VisCent_ExStr_3	-0.6421
P03	17Networks_LH_VisCent_ExStr_3	-1.4213
P04	17Networks_LH_VisCent_ExStr_3	0.4517
P05	17Networks_LH_VisCent_ExStr_3	0.8030
P06	17Networks_LH_VisCent_ExStr_3	-0.6189
P07	17Networks_LH_VisCent_ExStr_3	-0.2399
P08	17Networks_LH_VisCent_ExStr_3	0.0749
P09	17Networks_LH_VisCent_ExStr_3	-0.5122
P10	17Networks_LH_VisCent_ExStr_3	0.2226
P11	17Networks_LH_VisCent_ExStr_3	0.4168
P12	17Networks_LH_VisCent_ExStr_3	-0.2409
P13	17Networks_LH_VisCent_ExStr_3	-0.3404
P14	17Networks_LH_VisCent_ExStr_3	0.0442
P15	17Networks_LH_VisCent_ExStr_3	0.4610
P16	17Networks_LH_VisCent_ExStr_3	1.1874
P17	17Networks_LH_VisCent_ExStr_3	-0.1802
P18	17Networks_LH_VisCent_ExStr_3	-0.7050
P19	17Networks_LH_VisCent_ExStr_3	0.4767
P20	17Networks_LH_VisCent_ExStr_3	-0.3959
P21	17Networks_LH_VisCent_ExStr_3	-0.1908
P22	17Networks_LH_VisCent_ExStr_3	-0.6763
P23	17Networks_LH_VisCent_ExStr_3	-1.1512
P24	17Networks_LH_VisCent_ExStr_3	-0.5981
P25	17Networks_LH_VisCent_ExStr_3	0.0767
P26	17Networks_LH_VisCent_ExStr_3	0.3194
P27	17Networks_LH_VisCent_ExStr_3	1.6604
P28	17Networks_LH_VisCent_ExStr_3	1.1144
P29	17Networks_LH_VisCent_ExStr_3	0.3823
P30	17Networks_LH_VisCent_ExStr_3	0.2566
P31	17Networks_LH_VisCent_ExStr_3	-0.2222
P32	17Networks_LH_VisCent_ExStr_3	0.1432
P33	17Networks_LH_VisCent_ExStr_3	-0.5998
P34	17Networks_LH_VisCent_ExStr_3	0.9149
P35	17Networks_LH_VisCent_ExStr_3	-0.1275
P36	17Networks_LH_VisCent_ExStr_3	-0.8731
P37	17Networks_LH_VisCent_ExStr_3	-1.1380
P38	17Networks_LH_VisCent_ExStr_3	-0.1956
P39	17Networks_LH_VisCent_ExStr_3	-0.1607
P40	17Networks_LH_VisCent_ExStr_3	-0.2122
P41	17Networks_LH_VisCent_ExStr_3	-0.2978
P42	17Networks_LH_VisCent_ExStr_3	0.2179
P43	17Networks_LH_VisCent_ExStr_3	0.6449
P44	17Networks_LH_VisCent_ExStr_3	-0.4359
P45	17Networks_LH_VisCent_ExStr_3	-0.4289
P46	17Networks_LH_VisCent_ExStr_3	-0.1494
P47	17Networks_LH_VisCent_ExStr_3	-0.4321
P48	17Networks_LH_VisCent_ExStr_3	0.5894
P49	17Networks_LH_VisCent_ExStr_3	-0.1483
P50	17Networks_LH_VisCent_ExStr_3	0.1712
P51	17Networks_LH_VisCent_ExStr_3	0.0688
P52	17Networks_LH_VisCent_ExStr_3	0.1547
P53	17Networks_LH_VisCent_ExStr_3	1.0272
P54	17Networks_LH_VisCent_ExStr_3	-0.2209
P55	17Networks_LH_VisCent_ExStr_3	-0.1947
P56	17Networks_LH_VisCent_ExStr_3	0.1296
P57	17Networks_LH_VisCent_ExStr_3	0.2395
P58	17Networks_LH_VisCent_ExStr_3	0.4996
P59	17Networks_LH_VisCent_ExStr_3	0.1701
P60	17Networks_LH_VisCent_ExStr_3	1.4415
P00	17Networks_LH_VisCent_ExStr_4	0.6394
P01	17Networks_LH_VisCent_ExStr_4	-0.3516
