signNearest,signNear,signFar,magNearest,magNear,magFar,signXmagNearest,signXmagNear,signXmagFar,v_motion,onset_block,offset_block,shock,Pair,Subject,Group,ROI
0.087251,-0.0634257,0.0654838,-0.0530017,-0.00496087,-0.0674226,0.0171887,-0.0435623,0.0540655,0.0242063,-0.0463881,0.0578541,0.317263,0,CON031,uncontrol,lPAG1
0.0876742,0.0241493,0.0352606,-0.0101981,-0.0396631,0.00717457,0.049131,-0.0114131,0.0172427,-0.0129706,0.00255134,0.535141,0.800131,0,CON031,uncontrol,rvAI
0.0378864,0.0260328,-0.000114622,-0.0105104,-0.0699374,-0.0164263,0.0293384,0.0359208,0.0545179,-0.01233,-0.0860998,0.436633,1.48949,0,CON031,uncontrol,rdAI
0.0956735,0.0226801,0.006581,-0.0287779,-0.139675,0.0174544,0.0297295,-0.00471955,0.0212541,-0.00976361,-0.332306,0.516277,0.897951,0,CON031,uncontrol,lvAI
0.109827,-0.0133136,0.0117978,-0.00850468,-0.0606361,0.00471208,0.0610858,0.0096892,0.0313903,-0.000344679,-0.0621653,0.529693,0.98439,0,CON031,uncontrol,ldAI
0.00759552,-0.0330595,0.0285503,-0.0443351,-0.0813715,-0.0336168,0.0341366,0.00486453,0.0367559,-0.0108232,-0.384229,-0.179155,1.24122,0,CON031,uncontrol,rPI
0.0218403,-0.0407954,0.0197917,-0.053531,-0.0668183,-0.0327227,0.0180182,0.0069945,0.0356128,-0.00219164,-0.254163,-0.0499523,0.891586,0,CON031,uncontrol,lPI
0.214616,-0.0822803,-0.0476497,-0.0755532,-0.046655,0.0259691,0.131677,-0.0299282,0.169974,0.0165471,-0.849618,0.265519,1.16288,0,CON031,uncontrol,rBNST
0.248781,0.016482,0.00311215,-0.0138333,-0.110992,-0.0426995,0.0638921,0.176215,0.0938098,0.00953642,0.0663783,0.0208691,1.69428,0,CON031,uncontrol,lBNST
0.0535117,-0.00124733,0.0238454,-0.0371891,-0.07558,0.00970031,0.024577,0.00219492,0.037603,-0.0075214,-0.115144,0.294109,0.852019,0,CON031,uncontrol,ACC
-0.0186571,0.000577247,-0.0086154,0.0464102,-0.0839257,-0.0150018,0.05459,0.0191105,0.0258583,0.0113098,-0.472799,-0.0756885,0.19666,0,CON031,uncontrol,Amygdala_BLBM_La_R
-0.0239356,0.0299574,-0.00671415,0.000849823,-0.038749,-0.0259188,0.00896158,-0.0145671,0.0311699,-0.00727013,-0.209676,-0.0994399,0.627032,0,CON031,uncontrol,Amygdala_CeME_R
-0.0116795,-0.00870696,-0.0216765,0.0136446,-0.0742641,-0.017979,0.0494488,0.0212573,0.0378715,0.00556638,-0.155173,-0.0651448,-0.0680201,0,CON031,uncontrol,Amygdala_BLBM_La_L
0.0165597,0.055748,0.0355068,0.0151266,-0.066541,-0.0174759,0.066423,0.0195498,0.0166497,-0.0181777,-0.21299,0.200823,0.304366,0,CON031,uncontrol,Amygdala_CeME_L
